cp,city,age,year,total
50035,Artieda,3 años,2016,0.0
50035,Artieda,4 años,2016,1
50035,Artieda,5 años,2016,0.0
50035,Artieda,6 años,2016,1
50035,Artieda,7 años,2016,0.0
50035,Artieda,8 años,2016,0.0
50035,Artieda,9 años,2016,0.0
50035,Artieda,10 años,2016,0.0
50035,Artieda,11 años,2016,0.0
50035,Artieda,12 años,2016,1
50035,Artieda,13 años,2016,1
50035,Artieda,14 años,2016,1
50035,Artieda,15 años,2016,1
50035,Artieda,16 años,2016,0.0
50035,Artieda,17 años,2016,0.0
50035,Artieda,18 años,2016,0.0
50036,Asín,0 años,2016,0.0
50036,Asín,1 año,2016,1
50036,Asín,2 años,2016,0.0
50036,Asín,3 años,2016,0.0
50036,Asín,4 años,2016,0.0
50036,Asín,5 años,2016,0.0
50036,Asín,6 años,2016,0.0
50036,Asín,7 años,2016,0.0
50036,Asín,8 años,2016,0.0
50036,Asín,9 años,2016,0.0
50036,Asín,10 años,2016,0.0
50036,Asín,11 años,2016,0.0
50036,Asín,12 años,2016,0.0
50036,Asín,13 años,2016,0.0
50036,Asín,14 años,2016,0.0
50036,Asín,15 años,2016,0.0
50036,Asín,16 años,2016,0.0
50036,Asín,17 años,2016,0.0
50036,Asín,18 años,2016,0.0
50037,Atea,0 años,2016,0.0
50037,Atea,1 año,2016,0.0
50037,Atea,2 años,2016,0.0
50037,Atea,3 años,2016,0.0
50037,Atea,4 años,2016,0.0
50037,Atea,5 años,2016,0.0
50037,Atea,6 años,2016,0.0
50037,Atea,7 años,2016,0.0
50037,Atea,8 años,2016,1
50037,Atea,9 años,2016,0.0
50037,Atea,10 años,2016,0.0
50037,Atea,11 años,2016,0.0
50037,Atea,12 años,2016,1
50037,Atea,13 años,2016,1
