cp,city,age,year,total
44040,Berge,5 años,2020,0.0
44040,Berge,6 años,2020,1
44040,Berge,7 años,2020,4
44040,Berge,8 años,2020,0.0
44040,Berge,9 años,2020,2
44040,Berge,10 años,2020,2
44040,Berge,11 años,2020,0.0
44040,Berge,12 años,2020,3
44040,Berge,13 años,2020,1
44040,Berge,14 años,2020,3
44040,Berge,15 años,2020,3
44040,Berge,16 años,2020,6
44040,Berge,17 años,2020,2
44040,Berge,18 años,2020,2
44041,Bezas,0 años,2020,0.0
44041,Bezas,1 año,2020,0.0
44041,Bezas,2 años,2020,0.0
44041,Bezas,3 años,2020,0.0
